Date,Value
"7 Oct, 2019",27
"8 Oct, 2019",39
"9 Oct, 2019",37
"10 Oct, 2019",41
"11 Oct, 2019",39
"12 Oct, 2019",38
"13 Oct, 2019",38
"14 Oct, 2019",37
"15 Oct, 2019",39
"16 Oct, 2019",40
"17 Oct, 2019",40
"18 Oct, 2019",40
"19 Oct, 2019",41
"20 Oct, 2019",37
"21 Oct, 2019",37
"22 Oct, 2019",39
"23 Oct, 2019",33
"24 Oct, 2019",20
"25 Oct, 2019",24
"26 Oct, 2019",53
"27 Oct, 2019",50
"28 Oct, 2019",52
"29 Oct, 2019",54
"30 Oct, 2019",53
"31 Oct, 2019",50
"1 Nov, 2019",49
"2 Nov, 2019",51
"3 Nov, 2019",56
"4 Nov, 2019",49
"5 Nov, 2019",54
"6 Nov, 2019",53
"7 Nov, 2019",54
"8 Nov, 2019",42
"9 Nov, 2019",38
"10 Nov, 2019",39
"11 Nov, 2019",40
"12 Nov, 2019",39
"13 Nov, 2019",38
"14 Nov, 2019",41
"15 Nov, 2019",38
"16 Nov, 2019",41
"17 Nov, 2019",38
"18 Nov, 2019",38
"19 Nov, 2019",32
"20 Nov, 2019",32
"21 Nov, 2019",30
"22 Nov, 2019",20
"23 Nov, 2019",23
"24 Nov, 2019",21
"25 Nov, 2019",17
"26 Nov, 2019",21
"27 Nov, 2019",20
"28 Nov, 2019",32
"29 Nov, 2019",31
"30 Nov, 2019",38
"1 Dec, 2019",25
"2 Dec, 2019",28
"3 Dec, 2019",28
"4 Dec, 2019",24
"5 Dec, 2019",21
"6 Dec, 2019",29
"7 Dec, 2019",32
"8 Dec, 2019",28
"9 Dec, 2019",32
"10 Dec, 2019",26
"11 Dec, 2019",20
"12 Dec, 2019",23
"13 Dec, 2019",22
"14 Dec, 2019",27
"15 Dec, 2019",21
"16 Dec, 2019",24
"17 Dec, 2019",23
"18 Dec, 2019",15
"19 Dec, 2019",21
"20 Dec, 2019",23
"21 Dec, 2019",23
"22 Dec, 2019",20
"23 Dec, 2019",33
"24 Dec, 2019",25
"25 Dec, 2019",22
"26 Dec, 2019",39
"27 Dec, 2019",38
"28 Dec, 2019",37
"29 Dec, 2019",37
"30 Dec, 2019",40
"31 Dec, 2019",38
"1 Jan, 2020",37
"2 Jan, 2020",39
"3 Jan, 2020",38
"4 Jan, 2020",38
"5 Jan, 2020",39
"6 Jan, 2020",41
"7 Jan, 2020",40
"8 Jan, 2020",51
"9 Jan, 2020",44
"10 Jan, 2020",41
"11 Jan, 2020",50
"12 Jan, 2020",45
"13 Jan, 2020",49
"14 Jan, 2020",56
"15 Jan, 2020",54
"16 Jan, 2020",55
"17 Jan, 2020",54
"18 Jan, 2020",51
"19 Jan, 2020",53
"20 Jan, 2020",48
"21 Jan, 2020",49
"22 Jan, 2020",52
"23 Jan, 2020",49
"24 Jan, 2020",40
"25 Jan, 2020",41
"26 Jan, 2020",42
"27 Jan, 2020",50
"28 Jan, 2020",54
"29 Jan, 2020",57
"30 Jan, 2020",57
"31 Jan, 2020",55
"1 Feb, 2020",57
"2 Feb, 2020",57
"3 Feb, 2020",59
"4 Feb, 2020",56
"5 Feb, 2020",53
"6 Feb, 2020",61
"7 Feb, 2020",56
"8 Feb, 2020",56
"9 Feb, 2020",56
"10 Feb, 2020",57
"11 Feb, 2020",52
"12 Feb, 2020",61
"13 Feb, 2020",65
"14 Feb, 2020",63
"15 Feb, 2020",64
"16 Feb, 2020",59
"17 Feb, 2020",49
"18 Feb, 2020",53
"19 Feb, 2020",50
"20 Feb, 2020",44
"21 Feb, 2020",44
"22 Feb, 2020",43
"23 Feb, 2020",46
"24 Feb, 2020",46
"25 Feb, 2020",44
"26 Feb, 2020",41
"27 Feb, 2020",39
"28 Feb, 2020",40
"29 Feb, 2020",38
"1 Mar, 2020",39
"2 Mar, 2020",38
"3 Mar, 2020",38
"4 Mar, 2020",40
"5 Mar, 2020",41
"6 Mar, 2020",39
"7 Mar, 2020",38
"8 Mar, 2020",33
"9 Mar, 2020",17
"10 Mar, 2020",16
"11 Mar, 2020",17
"12 Mar, 2020",14
"13 Mar, 2020",10
"14 Mar, 2020",8
"15 Mar, 2020",12
"16 Mar, 2020",9
"17 Mar, 2020",8
"18 Mar, 2020",11
"19 Mar, 2020",12
"20 Mar, 2020",9
"21 Mar, 2020",9
"22 Mar, 2020",11
"23 Mar, 2020",10
"24 Mar, 2020",12
"25 Mar, 2020",13
"26 Mar, 2020",14
"27 Mar, 2020",12
"28 Mar, 2020",8
"29 Mar, 2020",12
"30 Mar, 2020",10
"31 Mar, 2020",12
"1 Apr, 2020",12
"2 Apr, 2020",14
"3 Apr, 2020",14
"4 Apr, 2020",12
"5 Apr, 2020",12
"6 Apr, 2020",12
"7 Apr, 2020",20
"8 Apr, 2020",21
"9 Apr, 2020",22
"10 Apr, 2020",15
"11 Apr, 2020",15
"12 Apr, 2020",10
"13 Apr, 2020",11
"14 Apr, 2020",15
"15 Apr, 2020",18
"16 Apr, 2020",13
"17 Apr, 2020",15
"18 Apr, 2020",18
"19 Apr, 2020",16
"20 Apr, 2020",15
"21 Apr, 2020",17
"22 Apr, 2020",19
"23 Apr, 2020",19
"24 Apr, 2020",20
"25 Apr, 2020",24
"26 Apr, 2020",21
"27 Apr, 2020",28
"28 Apr, 2020",26
"29 Apr, 2020",26
"30 Apr, 2020",44
"1 May, 2020",40
"2 May, 2020",40
"3 May, 2020",45
"4 May, 2020",44
"5 May, 2020",40
"6 May, 2020",42
"7 May, 2020",49
"8 May, 2020",55
"9 May, 2020",56
"10 May, 2020",48
"11 May, 2020",40
"12 May, 2020",39
"13 May, 2020",41
"14 May, 2020",40
"15 May, 2020",44
"16 May, 2020",41
"17 May, 2020",40
"18 May, 2020",50
"19 May, 2020",50
"20 May, 2020",52
"21 May, 2020",49
"22 May, 2020",42
"23 May, 2020",40
"24 May, 2020",43
"25 May, 2020",41
"26 May, 2020",39
"27 May, 2020",39
"28 May, 2020",41
"29 May, 2020",48
"30 May, 2020",48
"31 May, 2020",51
"1 Jun, 2020",50
"2 Jun, 2020",56
"3 Jun, 2020",48
"4 Jun, 2020",54
"5 Jun, 2020",53
"6 Jun, 2020",54
"7 Jun, 2020",54
"8 Jun, 2020",53
"9 Jun, 2020",52
"10 Jun, 2020",54
"11 Jun, 2020",52
"12 Jun, 2020",38
"13 Jun, 2020",38
"14 Jun, 2020",40
"15 Jun, 2020",37
"16 Jun, 2020",39
"17 Jun, 2020",38
"18 Jun, 2020",40
"19 Jun, 2020",39
"20 Jun, 2020",38
"21 Jun, 2020",37
"22 Jun, 2020",38
"23 Jun, 2020",41
"24 Jun, 2020",50
"25 Jun, 2020",43
"26 Jun, 2020",40
"27 Jun, 2020",43
"28 Jun, 2020",40
"29 Jun, 2020",41
"30 Jun, 2020",44
"1 Jul, 2020",42
"2 Jul, 2020",42
"3 Jul, 2020",41
"4 Jul, 2020",40
"5 Jul, 2020",38
"6 Jul, 2020",40
"7 Jul, 2020",43
"8 Jul, 2020",44
"9 Jul, 2020",44
"10 Jul, 2020",41
"11 Jul, 2020",44
"12 Jul, 2020",41
"13 Jul, 2020",43
"14 Jul, 2020",43
"15 Jul, 2020",44
"16 Jul, 2020",43
"17 Jul, 2020",41
"18 Jul, 2020",44
"19 Jul, 2020",41
"20 Jul, 2020",44
"21 Jul, 2020",44
"22 Jul, 2020",50
"23 Jul, 2020",55
"24 Jul, 2020",53
"25 Jul, 2020",55
"26 Jul, 2020",55
"27 Jul, 2020",58
"28 Jul, 2020",76
"29 Jul, 2020",71
"30 Jul, 2020",76
"31 Jul, 2020",75
"1 Aug, 2020",75
"2 Aug, 2020",80
"3 Aug, 2020",75
"4 Aug, 2020",72
"5 Aug, 2020",75
"6 Aug, 2020",79
"7 Aug, 2020",77
"8 Aug, 2020",77
"9 Aug, 2020",79
"10 Aug, 2020",78
"11 Aug, 2020",84
"12 Aug, 2020",75
"13 Aug, 2020",75
"14 Aug, 2020",78
"15 Aug, 2020",79
"16 Aug, 2020",82
"17 Aug, 2020",83
"18 Aug, 2020",82
"19 Aug, 2020",80
"20 Aug, 2020",75
"21 Aug, 2020",81
"22 Aug, 2020",78
"23 Aug, 2020",76
"24 Aug, 2020",78
"25 Aug, 2020",75
"26 Aug, 2020",76
"27 Aug, 2020",75
"28 Aug, 2020",74
"29 Aug, 2020",79
"30 Aug, 2020",75
"31 Aug, 2020",75
"1 Sep, 2020",75
"2 Sep, 2020",83
"3 Sep, 2020",79
"4 Sep, 2020",40
"5 Sep, 2020",41
"6 Sep, 2020",41
"7 Sep, 2020",41
"8 Sep, 2020",41
"9 Sep, 2020",38
"10 Sep, 2020",38
"11 Sep, 2020",41
"12 Sep, 2020",41
"13 Sep, 2020",38
"14 Sep, 2020",39
"15 Sep, 2020",47
"16 Sep, 2020",43
"17 Sep, 2020",48
"18 Sep, 2020",49
"19 Sep, 2020",48
"20 Sep, 2020",52
"21 Sep, 2020",48
"22 Sep, 2020",39
"23 Sep, 2020",43
"24 Sep, 2020",39
"25 Sep, 2020",46
"26 Sep, 2020",45
"27 Sep, 2020",47
"28 Sep, 2020",43
"29 Sep, 2020",45
"30 Sep, 2020",49
"1 Oct, 2020",45
"2 Oct, 2020",41
"3 Oct, 2020",40
"4 Oct, 2020",42
"5 Oct, 2020",42
"6 Oct, 2020",47
"7 Oct, 2020",43
"8 Oct, 2020",46
"9 Oct, 2020",48
"10 Oct, 2020",53
"11 Oct, 2020",55
"12 Oct, 2020",52
"13 Oct, 2020",56
"14 Oct, 2020",53
"15 Oct, 2020",56
"16 Oct, 2020",52
"17 Oct, 2020",56
"18 Oct, 2020",55
"19 Oct, 2020",55
"20 Oct, 2020",56
"21 Oct, 2020",61
"22 Oct, 2020",73
"23 Oct, 2020",74
"24 Oct, 2020",73
"25 Oct, 2020",76
"26 Oct, 2020",75
"27 Oct, 2020",61
"28 Oct, 2020",70
"29 Oct, 2020",67
"30 Oct, 2020",74
"31 Oct, 2020",73
"1 Nov, 2020",72
"2 Nov, 2020",71
"3 Nov, 2020",71
"4 Nov, 2020",74
"5 Nov, 2020",72
"6 Nov, 2020",90
"7 Nov, 2020",88
"8 Nov, 2020",82
"9 Nov, 2020",90
"10 Nov, 2020",90
"11 Nov, 2020",86
"12 Nov, 2020",87
"13 Nov, 2020",89
"14 Nov, 2020",90
"15 Nov, 2020",86
"16 Nov, 2020",90
"17 Nov, 2020",86
"18 Nov, 2020",91
"19 Nov, 2020",94
"20 Nov, 2020",86
"21 Nov, 2020",91
"22 Nov, 2020",94
"23 Nov, 2020",90
"24 Nov, 2020",88
"25 Nov, 2020",94
"26 Nov, 2020",93
"27 Nov, 2020",86
"28 Nov, 2020",87
"29 Nov, 2020",89
"30 Nov, 2020",88
"1 Dec, 2020",95
"2 Dec, 2020",92
"3 Dec, 2020",92
"4 Dec, 2020",92
"5 Dec, 2020",93
"6 Dec, 2020",95
"7 Dec, 2020",94
"8 Dec, 2020",95
"9 Dec, 2020",86
"10 Dec, 2020",94
"11 Dec, 2020",89
"12 Dec, 2020",90
"13 Dec, 2020",91
"14 Dec, 2020",95
"15 Dec, 2020",91
"16 Dec, 2020",92
"17 Dec, 2020",92
"18 Dec, 2020",95
"19 Dec, 2020",93
"20 Dec, 2020",92
"21 Dec, 2020",92
"22 Dec, 2020",88
"23 Dec, 2020",93
"24 Dec, 2020",86
"25 Dec, 2020",94
"26 Dec, 2020",93
"27 Dec, 2020",91
"28 Dec, 2020",92
"29 Dec, 2020",91
"30 Dec, 2020",91
"31 Dec, 2020",95
"1 Jan, 2021",94
"2 Jan, 2021",94
"3 Jan, 2021",93
"4 Jan, 2021",94
"5 Jan, 2021",93
"6 Jan, 2021",95
"7 Jan, 2021",91
"8 Jan, 2021",93
"9 Jan, 2021",93
"10 Jan, 2021",94
"11 Jan, 2021",90
"12 Jan, 2021",84
