Date,Price,Fear_Greed
"4 Mar, 2019","3,715.9",36
"5 Mar, 2019","3,857.2",35
"6 Mar, 2019","3,863.0",42
"7 Mar, 2019","3,875.1",56
"8 Mar, 2019","3,865.9",54
"9 Mar, 2019","3,944.3",55
"10 Mar, 2019","3,915.2",55
"11 Mar, 2019","3,870.3",56
"12 Mar, 2019","3,886.0",56
"13 Mar, 2019","3,865.1",54
"14 Mar, 2019","3,879.0",55
"15 Mar, 2019","3,924.3",55
"16 Mar, 2019","4,006.4",54
"17 Mar, 2019","3,981.5",58
"18 Mar, 2019","3,990.2",56
"19 Mar, 2019","4,017.0",56
"20 Mar, 2019","4,041.2",55
"21 Mar, 2019","3,982.2",62
"22 Mar, 2019","3,990.4",56
"23 Mar, 2019","4,002.5",50
"24 Mar, 2019","3,994.7",44
"25 Mar, 2019","3,937.0",46
"26 Mar, 2019","3,942.8",43
"27 Mar, 2019","4,041.7",44
"28 Mar, 2019","4,025.6",49
"29 Mar, 2019","4,102.2",50
"30 Mar, 2019","4,111.8",57
"31 Mar, 2019","4,102.3",56
"1 Apr, 2019","4,145.1",62
"2 Apr, 2019","4,859.3",60
"3 Apr, 2019","4,968.7",71
"4 Apr, 2019","4,902.4",61
"5 Apr, 2019","5,010.2",59
"6 Apr, 2019","5,046.2",65
"7 Apr, 2019","5,173.6",69
"8 Apr, 2019","5,245.2",65
"9 Apr, 2019","5,158.4",64
"10 Apr, 2019","5,307.8",62
"11 Apr, 2019","5,022.6",65
"12 Apr, 2019","5,054.2",42
"13 Apr, 2019","5,051.8",62
"14 Apr, 2019","5,134.8",51
"15 Apr, 2019","5,032.3",60
"16 Apr, 2019","5,180.9",50
"17 Apr, 2019","5,208.3",61
"18 Apr, 2019","5,264.7",64
"19 Apr, 2019","5,241.0",61
"20 Apr, 2019","5,290.2",62
"21 Apr, 2019","5,243.5",62
"22 Apr, 2019","5,346.7",61
"23 Apr, 2019","5,511.6",68
"24 Apr, 2019","5,415.6",65
"25 Apr, 2019","5,209.1",58
"26 Apr, 2019","5,298.3",41
"27 Apr, 2019","5,265.9",42
"28 Apr, 2019","5,302.3",40
"29 Apr, 2019","5,235.0",42
"30 Apr, 2019","5,320.8",42
"1 May, 2019","5,384.2",51
"2 May, 2019","5,493.8",50
"3 May, 2019","5,766.8",63
"4 May, 2019","5,830.9",66
"5 May, 2019","5,774.9",67
"6 May, 2019","5,745.1",57
"7 May, 2019","5,849.5",69
"8 May, 2019","5,990.3",63
"9 May, 2019","6,191.5",69
"10 May, 2019","6,386.0",71
"11 May, 2019","7,190.3",76
"12 May, 2019","6,984.8",75
"13 May, 2019","7,806.0",78
"14 May, 2019","7,994.6",78
"15 May, 2019","8,164.6",77
"16 May, 2019","7,871.8",75
"17 May, 2019","7,359.5",65
"18 May, 2019","7,262.6",67
"19 May, 2019","8,157.2",70
"20 May, 2019","7,965.3",73
"21 May, 2019","7,930.3",68
"22 May, 2019","7,635.7",69
"23 May, 2019","7,852.1",65
"24 May, 2019","7,970.1",64
"25 May, 2019","8,027.4",69
"26 May, 2019","8,630.2",67
"27 May, 2019","8,760.1",70
"28 May, 2019","8,716.3",71
"29 May, 2019","8,647.8",71
"30 May, 2019","8,271.9",73
"31 May, 2019","8,558.3",61
"1 Jun, 2019","8,545.7",62
"2 Jun, 2019","8,728.6",63
"3 Jun, 2019","8,124.8",66
"4 Jun, 2019","7,685.5",42
"5 Jun, 2019","7,779.1",27
"6 Jun, 2019","7,784.9",34
"7 Jun, 2019","7,985.2",27
"8 Jun, 2019","7,901.4",62
